Dato;17.06.16;21.06.16;23.06.16;26.06.16;27.06.16;28.06.16;29.06.16;30.06.16;02.07.16;04.07.16;05.07.16;06.07.16;08.07.16;10.07.16;11.07.16;13.07.16;15.07.16;17.07.16;19.07.16;21.07.16;23.07.16;24:07.2016;26.07.16;28.07.16;30.07.16;02.08.16;04.08.16;06.08.16;11.08.16;13.08.16;15.08.16;17.08.16;18.08.16
Tid;10:00;11:00;11:00;13:00;13:00;09:33;13:00;15:00;09:00;09:15;09:30;09:15;09:15;09:15;09:15;09:30;10:00;13:00;17:30;10:00;10:00;09:30;09:30;09:30;09:15;09:30;15:00;11:00;15:00;14:00;09:00;11:00;08:00
Vaer;Sol_litt skyer;Overskyet_mye tŒke;Overskyet_sol;Overskyet_regn_vind_tŒke;Overskyet_vind_regn;Vind_Regn_skyer ;Vind_Sol_skyer;Vind_skyer;Vind_skyer;Skyer_sol;Skyer_sol;Skyer_tŒke_litt regn;Mye sol_litt skyer;Skyer_litt regn;skyer;skyer_sol;sky;sky_regn;sky_regn;sky_sol;sol_sky;sky_sol;sky_regn;sky_regn;sky_regn;sky_regn;sky_regn;sky_regn;sky_sn¿_sol;sky_littreng;sky_sol;sol;sky
Hvem;LV_AH;LV;LV;LV;LV_SB;LV_SB;LV_SB;LV;LV_SB;SB_LV;SB_LV;LV_SB;LV_SB;LV_SB;LV;LV;LV_SB_AH;SB_LV;SB_LV;SB_LV;SB_LV;LV;LV;LV;LV;LV;LV;LV;LV;LV;LV;LV;LV
E01a;0;;0;0;0;0;1;1;2;2;3;3;6;8;8;11;13;10;9;7;3;6;3;3;1;1;1;2;1;;;;
E01b;0;;0;0;1;1;1;1;1;1;1;1;3;3;3;8;19;23;26;24;16;16;8;5;2;3;4;3;2;;;;
E01c;0;;0;0;0;0;0;0;0;0;0;0;0;0;1;5;9;12;10;7;4;3;3;3;2;2;0;1;1;;;;
E01d;0;;0;0;0;0;0;0;0;0;0;0;1;1;1;2;4;3;2;4;1;1;1;2;2;1;1;1;0;;;;
E01e;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;4;4;5;4;3;1;0;0;0;0;0;0;;;;
E02a;0;;0;2;2;2;2;2;2;2;2;2;2;0;0;0;4;5;6;7;2;2;2;2;2;2;1;1;0;;;;
E02b;0;;1;1;1;1;1;1;1;1;1;0;0;0;0;1;3;5;5;4;3;2;0;0;0;0;0;0;0;;;;
E02c;0;;0;0;0;0;0;1;1;1;3;3;5;6;6;13;20;18;19;9;5;7;4;4;4;2;2;0;0;;;;
E02d;1;;1;0;0;0;1;2;2;2;4;3;4;3;2;3;5;5;4;4;2;1;1;1;0;1;0;0;0;;;;
E02e;0;;0;1;3;3;3;3;4;4;4;3;8;5;7;9;11;9;6;8;3;5;3;2;2;2;1;1;0;;;;
E03a;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;8;14;19;20;19;7;6;3;3;3;4;3;;;;
E03b;0;;0;0;0;0;0;0;0;0;0;1;2;4;4;5;6;6;6;4;2;3;1;1;1;1;1;0;0;;;;
E03c;1;;5;7;10;9;10;10;12;14;16;16;26;28;30;31;26;16;13;13;9;9;6;5;5;4;2;1;0;;;;
E03d;0;;1;1;1;1;1;1;2;3;5;7;10;13;14;16;11;9;7;6;3;2;2;1;1;1;1;1;0;;;;
E03e;0;;0;0;0;0;1;1;1;2;3;3;4;6;6;6;4;4;5;3;3;2;2;1;1;1;1;0;0;;;;
E04a;0;;0;1;1;1;2;2;2;1;2;2;2;1;1;3;4;5;3;4;4;4;3;4;3;3;2;0;0;;;;
E04b;0;;0;0;0;0;0;1;1;1;1;1;1;0;0;0;5;6;10;16;13;9;6;4;4;2;2;0;0;;;;
E04c;0;;2;1;1;1;2;2;2;2;5;4;6;8;9;19;23;22;24;12;9;7;3;3;2;1;0;0;0;;;;
E04d;0;;0;0;0;0;0;0;0;0;2;2;5;6;7;10;13;9;12;15;17;12;8;5;3;4;1;1;0;;;;
E04e;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;4;6;7;2;2;1;1;0;0;0;0;;;;
E05a;0;;0;0;0;0;0;0;0;0;1;1;2;2;3;6;8;7;7;3;3;0;0;0;1;1;1;0;0;;;;
E05b;0;;0;0;1;1;2;3;3;3;4;4;5;7;8;10;13;11;12;7;8;5;3;3;3;2;2;2;0;;;;
E05c;0;;0;0;0;0;1;1;2;3;3;4;6;6;6;8;10;8;10;9;7;5;3;2;1;2;1;1;1;;;;
E05d;0;;0;0;0;0;1;1;1;1;2;2;2;2;3;3;4;3;3;3;2;1;0;0;0;0;0;0;0;;;;
E05e;0;;0;0;0;0;1;1;1;2;2;3;3;3;3;3;1;1;1;1;0;0;0;0;0;0;0;0;0;;;;
E06a;0;;1;2;2;2;4;4;3;4;8;10;11;15;15;11;8;5;0;0;0;0;0;0;0;0;0;0;0;;;;
E06b;0;;0;0;0;0;1;1;1;5;7;11;14;19;21;23;23;14;10;5;4;3;3;3;2;2;0;0;0;;;;
E06c;0;;0;0;0;0;0;0;0;1;1;5;4;6;5;7;6;4;4;3;1;1;0;0;0;0;0;0;0;;;;
E06d;2;;3;3;5;4;7;6;6;7;7;11;17;18;18;15;10;4;1;3;3;3;1;1;0;1;1;0;0;;;;
E06e;0;;0;0;0;0;0;0;0;0;1;1;2;2;2;4;4;1;1;0;0;0;0;0;0;0;0;0;0;;;;
E07a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;4;4;1;0;0;0;0;0;0;0;0;;;;
E07b;0;0;0;0;0;0;0;1;2;2;2;4;6;7;8;12;10;8;9;7;2;2;2;2;2;2;1;0;0;;;;
E07c;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;3;5;4;4;5;5;3;2;2;2;1;0;0;0;;;;
E07d;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;3;3;3;2;1;0;0;0;0;0;0;0;0;0;;;;
E07e;0;0;0;0;0;0;0;0;0;0;1;1;3;4;4;5;5;3;1;0;0;0;0;0;0;0;0;0;0;;;;
E08a;0;0;2;3;3;3;3;6;6;7;7;8;14;12;14;13;8;5;3;3;0;0;0;0;0;0;0;0;0;;;;
E08b;0;0;0;1;4;4;5;6;7;10;10;11;13;14;13;13;10;6;3;3;3;3;2;2;2;0;0;0;0;;;;
E08c;1;1;1;1;1;0;1;1;3;3;4;5;7;7;6;7;3;2;3;4;3;3;1;1;1;1;2;1;1;;;;
E08d;0;0;0;0;0;0;1;1;1;2;2;4;7;8;6;9;11;7;8;6;3;1;0;0;0;0;0;0;0;;;;
E08e;0;0;0;4;4;4;4;4;4;7;7;7;4;5;4;3;2;2;1;1;0;0;0;0;0;0;0;0;0;;;;
E09a;0;1;6;14;26;27;36;40;39;41;34;36;26;13;10;7;5;7;5;7;5;4;2;2;2;0;0;0;0;;;;
E09b;0;0;0;1;3;3;3;5;5;6;6;6;7;7;5;6;2;0;0;0;0;0;0;0;0;0;0;0;0;;;;
E09c;0;0;1;5;5;5;6;7;7;7;7;9;11;7;6;5;4;2;1;1;1;1;0;0;0;0;0;1;0;;;;
E09d;0;0;1;3;2;2;3;6;7;6;9;10;11;11;11;11;6;4;3;3;5;4;3;2;3;2;2;0;0;;;;
E09e;0;0;0;4;6;6;7;7;6;6;7;5;7;6;4;3;2;2;1;1;1;0;0;1;1;1;0;0;0;;;;
E10a;0;0;1;1;1;1;1;1;1;1;3;2;1;2;2;3;2;2;3;1;1;0;0;0;0;0;0;0;0;;;;
E10b;0;0;0;0;0;0;0;0;0;2;3;3;5;5;5;6;3;0;1;4;3;4;2;0;0;0;0;0;0;;;;
E10c;0;0;0;0;0;0;0;0;0;1;1;1;1;5;5;14;20;19;14;12;5;3;1;3;4;4;4;1;1;;;;
E10d;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;3;3;3;3;3;3;1;0;0;0;0;0;0;0;;;;
E10e;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;2;3;3;2;2;0;0;0;0;0;0;0;0;1;;;;
M01a;;;;;;;;;;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
M01b;;;;;;;;;;0;0;0;0;0;0;0;1;0;0;2;8;10;3;3;4;3;4;4;4;4;5;3;3
M01c;;;;;;;;;;0;0;0;0;0;0;0;1;2;1;3;9;9;3;3;3;2;0;0;0;1;1;3;3
M01d;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;2;4;7;1;2;4;4;3;2;0;0;1;2;2
M01e;;;;;;;;;;0;0;0;0;0;0;0;1;2;2;4;12;15;4;4;4;3;1;0;0;1;1;2;2
M02a;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M02b;;;;;;;;;;0;0;0;0;0;0;0;1;2;5;8;4;3;1;3;2;2;2;2;1;0;0;0;0
M02c;;;;;;;;;;0;0;0;0;0;0;0;0;0;1;2;7;7;1;2;3;2;1;1;1;0;0;0;0
M02d;;;;;;;;;;0;0;0;0;0;0;0;0;0;1;5;4;6;5;4;4;4;3;1;1;1;1;0;0
M02e;;;;;;;;;;0;0;0;0;0;0;0;1;1;2;3;4;3;1;1;1;1;1;2;2;2;2;1;1
M03a;;;;;;;;;;0;0;0;0;0;0;0;1;1;4;7;6;6;1;2;2;1;1;1;0;0;0;0;0
M03b;;;;;;;;;;0;0;0;0;0;0;0;2;4;5;7;4;4;2;3;3;2;2;1;1;1;1;1;1
M03c;;;;;;;;;;0;0;0;0;0;0;0;8;9;11;10;7;5;2;2;1;1;3;4;3;2;2;1;0
M03d;;;;;;;;;;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
M03e;;;;;;;;;;0;0;0;0;1;1;1;5;6;4;6;2;4;3;3;3;0;0;0;0;0;0;0;0
M04a;;;;;;;;;;0;0;0;0;0;0;0;0;0;1;5;6;4;4;4;6;7;6;6;4;1;3;3;2
M04b;;;;;;;;;;0;0;0;0;0;0;0;1;1;1;2;4;5;4;5;6;5;5;4;5;2;2;3;3
M04c;;;;;;;;;;0;0;0;0;0;0;0;0;0;1;1;5;7;7;2;2;1;0;0;0;0;0;0;0
M04d;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0
M04e;;;;;;;;;;0;0;0;0;0;0;0;0;0;2;8;10;11;9;7;6;9;6;4;4;2;2;2;2
M05a;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0
M05b;;;;;;;;;;0;0;0;0;2;2;2;6;7;11;11;4;4;3;3;3;0;0;0;0;0;0;0;0
M05c;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;1;5;5;4;4;4;2;0;0;0;0;0;0;0
M05d;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0
M05e;;;;;;;;;;0;0;0;0;0;0;0;1;1;4;2;8;11;14;12;11;7;4;0;0;0;0;1;5
M06a;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;3;4;7;8;5;5;4;5;4;1;0;0;0;0
M06b;;;;;;;;;;0;0;0;0;0;0;0;3;5;7;23;2;6;9;6;5;9;9;13;17;16;14;14;13
M06c;;;;;;;;;;0;0;0;0;0;0;2;6;8;9;17;19;24;17;9;5;4;1;1;1;1;2;3;4
M06d;;;;;;;;;;0;0;0;0;0;0;0;0;1;1;5;5;7;8;3;2;1;1;2;2;2;2;2;2
M06e;;;;;;;;;;0;0;0;0;0;0;0;0;0;1;8;12;13;15;8;10;7;4;2;0;0;1;1;1
M07a;;;;;;;;;;0;0;0;0;0;0;0;0;0;1;3;3;5;9;9;8;9;5;1;0;0;0;0;0
M07b;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;2;2;3;3;3;3;2;2;1;1;0;0;0
M07c;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;1;1;1;1;1;0;0;0;0
M07d;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;2;5;6;5;6;4;4;0;0;0;0;0;0;0
M07e;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M08a;;;;;;;;;;0;0;0;0;0;0;1;2;5;12;29;23;29;20;1;1;2;2;2;1;1;1;0;0
M08b;;;;;;;;;;0;0;0;0;0;2;4;7;9;13;27;24;25;17;9;4;4;4;3;4;3;2;4;4
M08c;;;;;;;;;;0;0;0;0;1;1;2;4;6;8;16;12;14;9;3;3;3;2;1;0;0;0;0;0
M08d;;;;;;;;;;0;0;0;0;0;0;0;2;6;7;15;3;3;4;4;4;3;3;4;3;3;3;3;3
M08e;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;4;1;2;4;1;1;1;1;2;1;1;2;3;2
M09a;;;;;;;;;;0;0;0;0;0;0;0;1;2;3;11;14;13;10;6;3;0;0;0;1;1;1;1;1
M09b;;;;;;;;;;0;0;0;0;0;0;4;9;9;10;12;3;1;0;0;0;2;0;0;0;0;0;0;0
M09c;;;;;;;;;;0;0;0;0;1;1;4;4;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
M09d;;;;;;;;;;0;1;2;2;3;3;5;6;4;3;2;1;1;1;1;0;0;0;0;0;0;0;0;0
M09e;;;;;;;;;;1;1;1;1;0;0;3;10;11;10;8;7;4;4;4;4;4;3;3;0;0;0;0;0
M10a;;;;;;;;;;0;0;0;0;0;0;0;1;1;1;9;3;4;4;6;6;3;2;2;1;2;1;1;0
M10b;;;;;;;;;;0;0;0;0;0;0;0;0;0;2;5;2;3;4;4;4;4;1;2;1;1;1;1;2
M10c;;;;;;;;;;0;0;0;0;0;0;1;0;0;2;11;9;11;12;8;8;7;7;0;1;0;2;1;2
M10d;;;;;;;;;;0;0;0;0;0;0;0;1;1;4;17;13;12;18;11;13;11;9;5;4;3;3;2;2
M10e;;;;;;;;;;0;0;0;0;1;2;4;4;6;5;12;10;10;8;6;4;3;2;2;1;1;1;1;1
L01a;;;;;;;;;;;;;;;;;0;0;0;0;0;1;4;4;6;8;8;4;3;1;0;0;0
L01b;;;;;;;;;;;;;;;;;1;1;2;6;5;7;6;7;7;7;5;5;3;3;1;1;1
L01c;;;;;;;;;;;;;;;;;0;0;0;1;1;1;0;0;0;1;1;0;1;0;0;0;0
L01d;;;;;;;;;;;;;;;;;0;0;0;3;1;1;1;2;2;2;1;0;0;0;0;0;0
L01e;;;;;;;;;;;;;;;;;0;0;4;11;16;17;7;7;4;3;2;2;0;0;0;0;0
L02a;;;;;;;;;;;;;;;;;0;0;2;5;2;5;4;2;2;0;0;0;0;0;0;0;0
L02b;;;;;;;;;;;;;;;;;0;0;0;1;3;3;2;2;3;2;2;2;1;0;0;1;1
L02c;;;;;;;;;;;;;;;;;0;0;0;1;2;2;0;1;1;0;0;0;0;0;0;0;0
L02d;;;;;;;;;;;;;;;;;0;0;1;1;0;1;0;0;0;0;5;5;6;2;2;2;2
L02e;;;;;;;;;;;;;;;;;0;0;0;0;1;1;0;2;1;2;2;0;0;0;0;0;0
L03a;;;;;;;;;;;;;;;;;0;0;0;0;1;1;0;1;2;0;0;0;0;0;0;0;0
L03b;;;;;;;;;;;;;;;;;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0
L03c;;;;;;;;;;;;;;;;;0;0;0;1;2;2;2;3;2;3;2;1;1;1;0;0;0
L03d;;;;;;;;;;;;;;;;;0;0;0;0;1;1;2;3;3;2;2;2;2;2;3;1;1
L03e;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
L04a;;;;;;;;;;;;;;;;;0;0;1;2;0;1;2;1;4;4;3;1;0;0;0;1;1
L04b;;;;;;;;;;;;;;;;;0;0;1;1;2;2;1;2;0;0;0;0;0;0;0;0;0
L04c;;;;;;;;;;;;;;;;;1;1;1;1;1;1;3;4;4;4;5;3;2;1;1;3;2
L04d;;;;;;;;;;;;;;;;;0;0;0;0;2;1;2;2;0;1;1;1;1;0;0;0;0
L04e;;;;;;;;;;;;;;;;;0;0;1;2;4;8;8;8;3;2;0;0;1;1;1;1;1
L05a;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0
L05b;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;1;1;1;1;2;1;0;0;0;0
L05c;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
L05d;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;1;5;1;1;3;4;4
L05e;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
L06a;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0
L06b;;;;;;;;;;;;;;;;;0;0;0;1;1;2;4;4;4;3;3;2;0;0;0;0;0
L06c;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;2;2;2;2;1;0;0;0;0;0
L06d;;;;;;;;;;;;;;;;;1;1;1;3;4;5;5;3;4;7;7;7;2;0;0;0;0
L06e;;;;;;;;;;;;;;;;;0;0;0;0;1;3;2;2;2;4;4;3;2;0;0;1;1
L07a;;;;;;;;;;;;;;;;;0;0;0;0;1;3;3;3;3;5;7;5;6;0;0;0;0
L07b;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;1;1;1;2;3;3;1;3;3;3
L07c;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;1;1
L07d;;;;;;;;;;;;;;;;;0;0;0;0;2;3;1;2;1;5;7;10;10;2;3;3;3
L07e;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;1;1;3;1;1;0;0;0;0
L08a;;;;;;;;;;;;;;;;;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0
L08b;;;;;;;;;;;;;;;;;0;0;0;2;0;0;1;0;0;1;1;0;0;0;0;0;1
L08c;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L08d;;;;;;;;;;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
L08e;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L09a;;;;;;;;;;;;;;;;;2;1;4;10;13;13;6;5;5;3;2;1;0;0;0;1;1
L09b;;;;;;;;;;;;;;;;;2;2;2;4;3;3;4;4;3;2;2;0;0;0;0;0;0
L09c;;;;;;;;;;;;;;;;;0;1;2;5;4;4;4;3;2;2;0;0;0;0;0;0;0
L09d;;;;;;;;;;;;;;;;;0;0;0;2;3;3;3;3;3;4;3;3;1;1;2;1;1
L09e;;;;;;;;;;;;;;;;;0;0;3;5;7;9;12;7;6;5;3;2;3;2;3;3;4
L10a;;;;;;;;;;;;;;;;;0;0;0;0;2;2;1;3;2;3;1;0;0;0;0;0;0
L10b;;;;;;;;;;;;;;;;;0;1;1;6;11;13;13;12;8;8;7;3;1;0;4;6;5
L10c;;;;;;;;;;;;;;;;;0;0;0;3;8;7;9;7;6;4;2;2;2;1;1;1;0
L10d;;;;;;;;;;;;;;;;;1;1;1;4;9;10;16;11;11;9;8;2;2;3;3;3;3
L10e;;;;;;;;;;;;;;;;;1;0;0;3;6;10;11;10;8;6;3;2;13;1;1;2;3