Site;Dato;Tid;regn;vind;sol og sky;sommerfugler;Fluer;andre
E01;23.06.16;;;;;;;
E02;23.06.16;;;;;;;
E03;23.06.16;13:00;;;sol_littsky;;3;
E04;23.06.16;;;;;;;
E05;23.06.16;;;;;;;
E06;23.06.16;12:20;;;sol_littsky;;6;
E07;23.06.16;;;;;;;
E08;23.06.16;11:55;;;sol_littsky;;2;
E09;23.06.16;11:30;;;sol_littsky;;30;
E10;23.06.16;;;;;;;
E01;02.07.16;;;;;;;
E02;02.07.16;;;;;;;
E03;02.07.16;;;;;;;
E04;02.07.16;;;;;;;
E05;02.07.16;;;;;;;
E06;02.07.16;;;;;;;
E07;02.07.16;;;;;;;
E08;02.07.16;;;;;;;
E09;02.07.16;09:17;;2;overskyet;;4;
E10;02.07.16;;;;;;;
E01;04.07.16;09:35;;1;overskyet;;0;
E02;04.07.16;09:20;;1;overskyet;;0;
E03;04.07.16;09:45;;1;overskyet;;1;
E04;04.07.16;09:55;;1;overskyet;;0;
E05;04.07.16;10:05;;1;overskyet;;0;
E06;04.07.16;10:16;;1;overskyet;;6;
E07;04.07.16;10:25;;1;overskyet;;5;
E08;04.07.16;10:35;;1;overskyet;;2;
E09;04.07.16;11:00;;1;overskyet;;17;
E10;04.07.16;11:00;;1;overskyet;;3;
E01;05.07.16;11:30;;1;sol_littsky;;2;
E02;05.07.16;11:20;;1;sol_littsky;;16;
E03;05.07.16;11:00;;1;overskyet;;13;
E04;05.07.16;11:40;;1;sol_littsky;;6;
E05;05.07.16;09:30;;1;overskyet;;0;
E06;05.07.16;09:45;;1;overskyet;;3;
E07;05.07.16;10:00;;1;overskyet;;6;
E08;05.07.16;10:10;;1;overskyet;;12;
E09;05.07.16;10:30;;1;overskyet;;28;
E10;05.07.16;10:40;;1;overskyet;;4;
E01;06.07.16;10:26;;2;overskyet;;1;
E02;06.07.16;10:20;;2;overskyet;;1;
E03;06.07.16;10:10;;1;overskyet;;4;
E04;06.07.16;10:00;;2;overskyet;;1;
E05;06.07.16;09:50;;2;overskyet;;0;
E06;06.07.16;09:35;;1;overskyet;;4;
E07;06.07.16;09:30;;1;overskyet;;2;
E08;06.07.16;09:15;;2;overskyet;;5;
E09;06.07.16;10:50;;2;overskyet;;10;
E10;06.07.16;10:55;;2;overskyet;;5;
M01;;;;;;;;
M02;;;;;;;;
M03;;;;;;;;
M04;;;;;;;;
M05;;;;;;;;
M06;;;;;;;;
M07;;;;;;;;
M08;;;;;;;;
M09;14.07.16;09:25;;1;overskyet_littsol;;11;
M10;;;;;;;;
M01;;;;;;;;
M02;;;;;;;;
M03;15.07.16;13:50;;1;sol_littsky;;7;
M04;;;;;;;;
M05;;;;;;;;
M06;15.07.16;15:15;;1;sol_littsky;;10;
M07;;;;;;;;
M08;15.07.16;14:15;;1;sol_littsky;;43;
M09;15.07.16;13:45;;1;sol_littsky;;28;
M10;15.07.16;13:40;;1;sol_littsky;;18;
M01;;;;;;;;
M02;;;;;;;;
M03;18.07.16;11:00;;1;overskyet_littsol;;17;
M04;;;;;;;;
M05;;;;;;;;
M06;18.07.16;10:15;;1;overskyet_littsol;;26;
M07;;;;;;;;
M08;18.07.16;09:40;;1;overskyet_littsol;;6;
M09;18.07.16;09:10;;1;overskyet_littsol;;2;
M10;18.07.16;09:15;;1;overskyet_littsol;;3;
M01;20.07.16;11:30;;1;sol_littsky;;5;
M02;20.07.16;11:35;;1;sol_littsky;;6;
M03;20.07.16;12:00;;1;sol_littsky;;22;
M04;20.07.16;11:10;;1;sol_littsky;;17;
M05;20.07.16;10:50;;1;sol_littsky;;17;
M06;20.07.16;10:35;;1;sol_littsky;;52;
M07;20.07.16;09:50;;1;sol_littsky;;12;
M08;20.07.16;12:50;;1;sol_littsky;;46;
M09;20.07.16;12:20;;1;sol_littsky;;16;
M10;20.07.16;12:30;;1;sol_littsky;;21;
M01;21.07.16;10:10;;3;overskyet_littsol;;3;
M02;21.07.16;10:20;;3;overskyet_littsol;;9;
M03;21.07.16;10:30;;3;overskyet_littsol;;11;
M04;21.07.16;10:00;;3;overskyet_littsol;;4;
M05;21.07.16;09:50;;3;overskyet_littsol;;1;
M06;21.07.16;11:40;;3;overskyet_littsol;;36;
M07;21.07.16;11:30;;3;overskyet_littsol;;26;
M08;21.07.16;11:20;;3;overskyet_littsol;;34;
M09;21.07.16;10:40;;3;overskyet_littsol;;16;
M10;21.07.16;11:00;;3;overskyet_littsol;;36;
L01;23.07.16;10:00;;1;overskyet_littsol;;15;
L02;;;;;;;;
L03;;;;;;;;
L04;23.07.16;12:00;;1;overskyet_littsol;;10;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;23.07.16;10:30;;1;overskyet_littsol;;26;
L10;23.07.16;10:40;;1;overskyet_littsol;;38;
L01;24.07.16;11:50;;1;overskyet_littsol;;33;
L02;;;;;;;;
L03;;;;;;;;
L04;24.07.16;11:40;;1;overskyet;;9;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;24.07.16;09:35;;1;overskyet_littsol;;26;
L10;24.07.16;09:30;;1;overskyet_littsol;;25;
L01;15.08.16;;;;;;;
L02;15.08.16;;;;;;;
L03;15.08.16;14:30;;1;overskyet_littsol;;4;
L04;15.08.16;;;;;;;
L05;15.08.16;;;;;;;
L06;15.08.16;;;;;;;
L07;15.08.16;;;;;;;
L08;15.08.16;;;;;;;
L09;15.08.16;;;;;;;
L10;15.08.16;;;;;;;
L01;17.08.16;14:30;;1;sol;;3;
L02;17.08.16;;;;;;;
L03;17.08.16;15:00;;1;sol;;6;
L04;17.08.16;;;;;;;
L05;17.08.16;;;;;;;
L06;17.08.16;;;;;;;
L07;17.08.16;12:10;;1;sol;;2;
L08;17.08.16;;;;;;;
L09;17.08.16;11:10;;1;sol;;0;
L10;17.08.16;10:40;;1;sol ;;16;
L01;23.08.16;14:40;;1;overskyet;;0;
L02;23.08.16;14:50;;1;overskyet;;5;
L03;23.08.16;15:00;;1;overskyet;;0;
L04;23.08.16;14:30;;1;overskyet;;1;
L05;23.08.16;12:00;;1;overskyet_littsol;;2;
L06;23.08.16;12:30;;1;overskyet;;0;
L07;23.08.16;12:35;;1;overskyet;;1;
L08;23.08.16;;;;;;;
L09;23.08.16;15:35;;1;overskyet;;1;
L10;23.08.16;15:40;;1;overskyet;;0;
E01;23.06.16;;;;;;;
E02;23.06.16;;;;;;;
E03;23.06.16;13:30;;1;overskyet_littsol;;2;
E04;23.06.16;;;;;;;
E05;23.06.16;;;;;;;
E06;23.06.16;13:35;;1;overskyet_littsol;;1;
E07;23.06.16;;;;;;;
E08;23.06.16;13:45;;1;overskyet_littsol;;2;
E09;23.06.16;13:35;;1;overskyet_littsol;;36;1 veps
E10;23.06.16;;;;;;;
E01;02.07.16;;;;;;;
E02;02.07.16;;;;;;;
E03;02.07.16;;;;;;;
E04;02.07.16;;;;;;;
E05;02.07.16;;;;;;;
E06;02.07.16;;;;;;;
E07;02.07.16;;;;;;;
E08;02.07.16;;;;;;;
E09;02.07.16;;;;;;;
E10;02.07.16;;;;;;;
E01;04.07.16;12:20;;1;overskyet;;2;
E02;04.07.16;12:20;;1;overskyet;;0;
E03;04.07.16;12:30;;1;overskyet;;0;
E04;04.07.16;12:40;;1;overskyet;;2;
E05;04.07.16;12:40;;1;overskyet;;1;
E06;04.07.16;12:50;;1;overskyet_littsol;;17;
E07;04.07.16;12:50;;1;overskyet;;6;
E08;04.07.16;13:00;;1;overskyet;;19;
E09;04.07.16;13:05;;1;overskyet;;42;
E10;04.07.16;13:05;littregn;1;overskyet;;5;
E01;05.07.16;14:05;;1;overskyet_littsol;;6;
E02;05.07.16;13:55;;1;sol_littsky;;15;
E03;05.07.16;13:40;;1;sol_littsky;;8;
E04;05.07.16;14:15;;1;sol_littsky;;4;
E05;05.07.16;12:30;;1;sol_littsky;;3;
E06;05.07.16;12:40;;1;sol_littsky;;31;
E07;05.07.16;12:55;;1;sol_littsky;;7;
E08;05.07.16;13:05;;1;sol_littsky;;11;
E09;05.07.16;13:15;;1;sol_littsky;;52;
E10;05.07.16;13:20;;1;sol_littsky;;8;
E01;06.07.16;12:30;;2;overskyet;;0;
E02;06.07.16;12:40;;2;overskyet;;1;
E03;06.07.16;12:35;;2;overskyet;;5;
E04;06.07.16;12:25;;2;overskyet;;0;
E05;06.07.16;12:15;;2;overskyet;;0;
E06;06.07.16;12:10;;2;overskyet;;1;
E07;06.07.16;12:00;;2;overskyet;;2;
E08;06.07.16;11:50;;2;overskyet;;2;
E09;06.07.16;12:50;;2;overskyet;;6;
E10;06.07.16;12:55;;2;overskyet;;4;
M01;;;;;;;;
M02;;;;;;;;
M03;;;;;;;;
M04;;;;;;;;
M05;;;;;;;;
M06;;;;;;;;
M07;;;;;;;;
M08;;;;;;;;
M09;14.07.16;15:20;;1;sol_littsky;;9;
M10;;;;;;;;
M01;;;;;;;;
M02;;;;;;;;
M03;15.07.16;16:00;;1;sol_littsky;;6;
M04;;;;;;;;
M05;;;;;;;;
M06;15.07.16;16:10;;1;sol_littsky;;5;
M07;;;;;;;;
M08;15.07.16;14:00;;1;sol_littsky;;20;
M09;15.07.16;14:10;;1;sol_littsky;;22;
M10;15.07.16;14:15;;1;sol_littsky;;13;
M01;;;;;;;;
M02;;;;;;;;
M03;18.07.16;;;;;;;
M04;;;;;;;;
M05;;;;;;;;
M06;18.07.16;;;;;;;
M07;;;;;;;;
M08;18.07.16;;;;;;;
M09;18.07.16;;;;;;;
M10;18.07.16;;;;;;;
M01;20.07.16;18:10;;1;overskyet_littsol;;25;
M02;20.07.16;18:20;;1;overskyet_littsol;;32;
M03;20.07.16;18:30;;1;overskyet_littsol;;30;
M04;20.07.16;18:00;;1;overskyet_littsol;;12;
M05;20.07.16;17:50;;1;overskyet_littsol;;15;
M06;20.07.16;17:40;;1;overskyet_littsol;2 bloddrŒpesvermere;45;
M07;20.07.16;17:30;;1;overskyet_littsol;;27;
M08;20.07.16;18:40;;1;overskyet_littsol;;41;1 bille
M09;20.07.16;18:50;;1;overskyet_littsol;;40;
M10;20.07.16;19:00;;1;overskyet_littsol;;18;
M01;21.07.16;14:20;;3;overskyet;;7;
M02;21.07.16;14:30;;3;overskyet;;3;
M03;21.07.16;13:45;;3;overskyet;;18;
M04;21.07.16;14:45;;3;overskyet;;3;
M05;21.07.16;15:05;;3;overskyet;;1;
M06;21.07.16;15:10;;3;overskyet;;31;
M07;21.07.16;15:15;;3;overskyet;;7;
M08;21.07.16;12:45;;3;overskyet_littsol;;51;
M09;21.07.16;13:00;;3;overskyet_littsol;;21;
M10;21.07.16;13:20;;3;overskyet_littsol;;27;
L01;23.07.16;18:30;;1;overskyet_littsol;;12;
L02;;;;;;;;
L03;;;;;;;;
L04;23.07.16;18:20;;1;sol_littsky;;4;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;23.07.16;19:40;;1;overskyet;;8;
L10;23.07.16;19:50;;1;overskyet;;11;
L01;24.07.16;19:05;;1;overskyet_littsol;;6;
L02;;;;;;;;
L03;;;;;;;;
L04;24.07.16;18:55;regn;1;overskyet_littsol;;3;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;24.07.16;16:45;;1;overskyet;;21;
L10;24.07.16;16:40;;1;overskyet;;46;
L01;15.08.16;;;;;;;
L02;15.08.16;;;;;;;
L03;15.08.16;;;;;;;
L04;15.08.16;;;;;;;
L05;15.08.16;;;;;;;
L06;15.08.16;;;;;;;
L07;15.08.16;;;;;;;
L08;15.08.16;;;;;;;
L09;15.08.16;;;;;;;
L10;15.08.16;;;;;;;
L01;17.08.16;;;;;;;
L02;17.08.16;;;;;;;
L03;17.08.16;;;;;;;
L04;17.08.16;;;;;;;
L05;17.08.16;;;;;;;
L06;17.08.16;;;;;;;
L07;17.08.16;;;;;;;
L08;17.08.16;;;;;;;
L09;17.08.16;;;;;;;
L10;17.08.16;;;;;;;
L01;23.08.16;;;;;;;
L02;23.08.16;;;;;;;
L03;23.08.16;;;;;;;
L04;23.08.16;;;;;;;
L05;23.08.16;;;;;;;
L06;23.08.16;;;;;;;
L07;23.08.16;;;;;;;
L08;23.08.16;;;;;;;
L09;23.08.16;;;;;;;
L10;23.08.16;;;;;;;
E01;23.06.16;;;;;;;
E02;23.06.16;;;;;;;
E03;23.06.16;14:10;;1;overskyet_littsol;;1;
E04;23.06.16;;;;;;;
E05;23.06.16;;;;;;;
E06;23.06.16;14:20;;1;overskyet_littsol;;3;
E07;23.06.16;;;;;;;
E08;23.06.16;14:30;;1;overskyet_littsol;;2;
E09;23.06.16;14:40;;1;overskyet_littsol;;31;
E10;23.06.16;;;;;;;
E01;02.07.16;;;;;;;
E02;02.07.16;;;;;;;
E03;02.07.16;;;;;;;
E04;02.07.16;;;;;;;
E05;02.07.16;;;;;;;
E06;02.07.16;;;;;;;
E07;02.07.16;;;;;;;
E08;02.07.16;;;;;;;
E09;02.07.16;;;;;;;
E10;02.07.16;;;;;;;
E01;04.07.16;;;;;;;
E02;04.07.16;;;;;;;
E03;04.07.16;;;;;;;
E04;04.07.16;;;;;;;
E05;04.07.16;;;;;;;
E06;04.07.16;;;;;;;
E07;04.07.16;;;;;;;
E08;04.07.16;;;;;;;
E09;04.07.16;;;;;;;
E10;04.07.16;;;;;;;
E01;05.07.16;15:20;;2;sol_littsky;;4;
E02;05.07.16;15:15;;2;sol_littsky;;5;
E03;05.07.16;15:05;;1;sol_littsky;;11;
E04;05.07.16;15:30;;2;sol_littsky;;4;
E05;05.07.16;15:00;;2;sol_littsky;;4;
E06;05.07.16;15:15;;2;sol_littsky;;10;
E07;05.07.16;15:23;;2;sol_littsky;;10;
E08;05.07.16;15:34;;2;sol_littsky;;11;
E09;05.07.16;15:43;;2;sol_littsky;;21;
E10;05.07.16;15:50;;2;sol_littsky;;6;
E01;06.07.16;;;;;;;
E02;06.07.16;;;;;;;
E03;06.07.16;;;;;;;
E04;06.07.16;;;;;;;
E05;06.07.16;;;;;;;
E06;06.07.16;;;;;;;
E07;06.07.16;;;;;;;
E08;06.07.16;;;;;;;
E09;06.07.16;;;;;;;
E10;06.07.16;;;;;;;
M01;;;;;;;;
M02;;;;;;;;
M03;;;;;;;;
M04;;;;;;;;
M05;;;;;;;;
M06;;;;;;;;
M07;;;;;;;;
M08;;;;;;;;
M09;14.07.16;;;;;;;
M10;;;;;;;;
M01;;;;;;;;
M02;;;;;;;;
M03;15.07.16;17:00;;1;sol_littsky;;7;
M04;;;;;;;;
M05;;;;;;;;
M06;15.07.16;;;;;;;
M07;;;;;;;;
M08;15.07.16;17:15;;1;sol_littsky;;24;
M09;15.07.16;17:35;;1;sol_littsky;;22;
M10;15.07.16;17:25;;1;sol_littsky;;6;
M01;;;;;;;;
M02;;;;;;;;
M03;18.07.16;;;;;;;
M04;;;;;;;;
M05;;;;;;;;
M06;18.07.16;;;;;;;
M07;;;;;;;;
M08;18.07.16;;;;;;;
M09;18.07.16;;;;;;;
M10;18.07.16;;;;;;;
M01;20.07.16;;;;;;;
M02;20.07.16;;;;;;;
M03;20.07.16;;;;;;;
M04;20.07.16;;;;;;;
M05;20.07.16;;;;;;;
M06;20.07.16;;;;;;;
M07;20.07.16;;;;;;;
M08;20.07.16;;;;;;;
M09;20.07.16;;;;;;;
M10;20.07.16;;;;;;;
M01;21.07.16;;;;;;;
M02;21.07.16;;;;;;;
M03;21.07.16;;;;;;;
M04;21.07.16;;;;;;;
M05;21.07.16;;;;;;;
M06;21.07.16;;;;;;;
M07;21.07.16;;;;;;;
M08;21.07.16;;;;;;;
M09;21.07.16;;;;;;;
M10;21.07.16;;;;;;;
L01;23.07.16;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;23.07.16;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;23.07.16;;;;;;;
L10;23.07.16;;;;;;;
L01;24.07.16;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;24.07.16;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;24.07.16;;;;;;;
L10;24.07.16;;;;;;;
L01;15.08.16;;;;;;;
L02;15.08.16;;;;;;;
L03;15.08.16;;;;;;;
L04;15.08.16;;;;;;;
L05;15.08.16;;;;;;;
L06;15.08.16;;;;;;;
L07;15.08.16;;;;;;;
L08;15.08.16;;;;;;;
L09;15.08.16;;;;;;;
L10;15.08.16;;;;;;;
L01;17.08.16;;;;;;;
L02;17.08.16;;;;;;;
L03;17.08.16;;;;;;;
L04;17.08.16;;;;;;;
L05;17.08.16;;;;;;;
L06;17.08.16;;;;;;;
L07;17.08.16;;;;;;;
L08;17.08.16;;;;;;;
L09;17.08.16;;;;;;;
L10;17.08.16;;;;;;;
L01;23.08.16;;;;;;;
L02;23.08.16;;;;;;;
L03;23.08.16;;;;;;;
L04;23.08.16;;;;;;;
L05;23.08.16;;;;;;;
L06;23.08.16;;;;;;;
L07;23.08.16;;;;;;;
L08;23.08.16;;;;;;;
L09;23.08.16;;;;;;;
L10;23.08.16;;;;;;;
E01;07.07.16;12:10;;1;overskyet_littsol;;2;
E02;07.07.16;12:05;;1;overskyet_littsol;;6;
E03;07.07.16;11:50;;1;overskyet_littsol;;16;
E04;07.07.16;12:20;;1;sol_littsky;;5;
E05;07.07.16;12:30;;1;overskyet_littsol;;6;
E06;07.07.16;12:40;;1;overskyet_littsol;;23;
E07;07.07.16;12:50;;1;overskyet_littsol;;11;
E08;07.07.16;12:55;;1;overskyet_littsol;;13;
E09;07.07.16;11:35;;1;overskyet_littsol;1 bloddrape;37;
E10;07.07.16;11:25;;1;overskyet_littsol;;14;
E01;08.07.16;10:40;;1;overskyet_littsol;;2;
E02;08.07.16;10:50;;1;overskyet_littsol;;7;
E03;08.07.16;11:00;;1;overskyet_littsol;;43;
E04;08.07.16;10:30;;1;overskyet_littsol;;6;
E05;08.07.16;10:20;;1;overskyet_littsol;;4;
E06;08.07.16;10:10;;1;overskyet_littsol;;5;
E07;08.07.16;10:00;;1;overskyet_littsol;;9;
E08;08.07.16;09:45;;1;overskyet_littsol;;4;
E09;08.07.16;09:30;;1;overskyet_littsol;;7;
E10;08.07.16;09:15;;1;overskyet_littsol;;1;
E01;13.07.16;09:45;;1;overskyet;;8;
E02;13.07.16;09:30;;1;overskyet;;3;
E03;13.07.16;10:10;;1;overskyet;;6;
E04;13.07.16;10:00;;1;overskyet;;12;
E05;13.07.16;10:20;;1;overskyet_littsol;;14;
E06;13.07.16;10:40;;1;overskyet_littsol;;51;
E07;13.07.16;10:45;;1;overskyet_littsol;;16;
E08;13.07.16;11:00;;1;overskyet_littsol;;31;
E09;13.07.16;11:10;;1;overskyet;;21;
E10;13.07.16;11:20;;1;overskyet;;25;
E01;14.07.16;11:10;;1;overskyet_littsol;;11;
E02;14.07.16;11:20;;1;overskyet_littsol;;9;
E03;14.07.16;11:30;;1;overskyet_littsol;;9;
E04;14.07.16;13:00;;1;sol_littsky;;19;
E05;14.07.16;13:10;;1;overskyet_littsol;;32;
E06;14.07.16;13:30;;1;overskyet_littsol;;54;
E07;14.07.16;13:35;;1;overskyet_littsol;;38;
E08;14.07.16;10:30;;1;overskyet_littsol;;8;
E09;14.07.16;09:15;;1;overskyet_littsol;;8;
E10;14.07.16;09:10;;1;overskyet_littsol;;8;
E01;15.07.16;13:30;;2;overskyet_littsol;;18;
E02;15.07.16;13:35;;2;overskyet_littsol;;16;
E03;15.07.16;13:40;;2;overskyet_littsol;;44;
E04;15.07.16;13:15;;2;overskyet_littsol;1 bloddrŒpe_1sommerfugl;18;
E05;15.07.16;13:10;;2;overskyet_littsol;;14;
E06;15.07.16;13:05;;2;overskyet_littsol;;36;
E07;15.07.16;13:00;;2;overskyet_littsol;;32;
E08;15.07.16;12:50;;2;overskyet_littsol;;7;
E09;15.07.16;14:30;;2;overskyet_littsol;;24;
E10;15.07.16;14:10;;2;overskyet_littsol;;23;
M01;23.07.16;09:50;;1;overskyet_littsol;;15;
M02;23.07.16;10:10;;1;overskyet_littsol;;8;
M03;23.07.16;12:00;;1;overskyet_littsol;;12;
M04;23.07.16;11:50;;1;overskyet_littsol;;47;
M05;23.07.16;11:40;;1;overskyet_littsol;;19;
M06;23.07.16;11:30;;1;overskyet_littsol;;61;
M07;23.07.16;11:10;;1;overskyet_littsol;;21;
M08;23.07.16;11:00;;1;overskyet_littsol;;27;
M09;23.07.16;10:20;;1;overskyet_littsol;;18;
M10;23.07.16;10:40;;1;overskyet_littsol;;34;
M01;24.07.16;11:45;;1;overskyet_littsol;;39;
M02;24.07.16;12:00;;1;overskyet_littsol;;25;
M03;24.07.16;11:00;;1;overskyet_littsol;;23;
M04;24.07.16;11:30;;1;overskyet_littsol;;44;
M05;24.07.16;11:10;;1;overskyet_littsol;;27;
M06;24.07.16;10:40;;1;overskyet_littsol;;41;
M07;24.07.16;10:20;;1;overskyet_littsol;;17;
M08;24.07.16;10:10;;1;overskyet_littsol;;36;
M09;24.07.16;09:40;;1;overskyet_littsol;;14;
M10;24.07.16;09:50;;1;overskyet_littsol;;43;
M01;15.08.16;14:55;;1;overskyet_littsol;;5;
M02;15.08.16;14:25;;1;overskyet_littsol;;6;
M03;15.08.16;15:30;;2;overskyet_littsol;;1;
M04;15.08.16;16:50;;1;overskyet_littsol;;4;
M05;15.08.16;15:10;;1;overskyet_littsol;;2;
M06;15.08.16;15:20;;1;overskyet_littsol;;2;
M07;15.08.16;16:45;;1;overskyet_littsol;;3;
